,location,date,new_cases
586,World,2021-08-30,671767.0
587,World,2021-08-31,620578.0
588,World,2021-09-01,719121.0
589,World,2021-09-02,678458.0
590,World,2021-09-03,723569.0
591,World,2021-09-04,496665.0
592,World,2021-09-05,446864.0
593,World,2021-09-06,477695.0
594,World,2021-09-07,656401.0
595,World,2021-09-08,637629.0
596,World,2021-09-09,640252.0
597,World,2021-09-10,658689.0
598,World,2021-09-11,468487.0
599,World,2021-09-12,371314.0
600,World,2021-09-13,577838.0
601,World,2021-09-14,549801.0
602,World,2021-09-15,568080.0
603,World,2021-09-16,587387.0
604,World,2021-09-17,623209.0
605,World,2021-09-18,398954.0
606,World,2021-09-19,363350.0
607,World,2021-09-20,530135.0
608,World,2021-09-21,488683.0
609,World,2021-09-22,535005.0
610,World,2021-09-23,547612.0
611,World,2021-09-24,549223.0
612,World,2021-09-25,374091.0
613,World,2021-09-26,355762.0
614,World,2021-09-27,482724.0
615,World,2021-09-28,450937.0
616,World,2021-09-29,490999.0
617,World,2021-09-30,489880.0
618,World,2021-10-01,521979.0
619,World,2021-10-02,350642.0
620,World,2021-10-03,309017.0
621,World,2021-10-04,447026.0
622,World,2021-10-05,422792.0
623,World,2021-10-06,507041.0
624,World,2021-10-07,461810.0
625,World,2021-10-08,475399.0
626,World,2021-10-09,340191.0
627,World,2021-10-10,316389.0
628,World,2021-10-11,387931.0
629,World,2021-10-12,438157.0
630,World,2021-10-13,456443.0
631,World,2021-10-14,454421.0
632,World,2021-10-15,457948.0
633,World,2021-10-16,341312.0
634,World,2021-10-17,313228.0
635,World,2021-10-18,427725.0
636,World,2021-10-19,431518.0
637,World,2021-10-20,476275.0
638,World,2021-10-21,462001.0
639,World,2021-10-22,492762.0
640,World,2021-10-23,370196.0
641,World,2021-10-24,309135.0
642,World,2021-10-25,452316.0
643,World,2021-10-26,426388.0
644,World,2021-10-27,513952.0
645,World,2021-10-28,482978.0
646,World,2021-10-29,494080.0
647,World,2021-10-30,374496.0
648,World,2021-10-31,348736.0
649,World,2021-11-01,457553.0
650,World,2021-11-02,404322.0
651,World,2021-11-03,524730.0
652,World,2021-11-04,517428.0
653,World,2021-11-05,524181.0
654,World,2021-11-06,405645.0
655,World,2021-11-07,340585.0
656,World,2021-11-08,524897.0
657,World,2021-11-09,469281.0
658,World,2021-11-10,573504.0
659,World,2021-11-11,521082.0
660,World,2021-11-12,599554.0
661,World,2021-11-13,395566.0
662,World,2021-11-14,348050.0
663,World,2021-11-15,601431.0
664,World,2021-11-16,506724.0
665,World,2021-11-17,615096.0
666,World,2021-11-18,621501.0
667,World,2021-11-19,614505.0
668,World,2021-11-20,437826.0
669,World,2021-11-21,379513.0
670,World,2021-11-22,704462.0
671,World,2021-11-23,574940.0
672,World,2021-11-24,657596.0
673,World,2021-11-25,597085.0
674,World,2021-11-26,613385.0
675,World,2021-11-27,418526.0
676,World,2021-11-28,389578.0
677,World,2021-11-29,742097.0
678,World,2021-11-30,600191.0
679,World,2021-12-01,702107.0
680,World,2021-12-02,707309.0
681,World,2021-12-03,730519.0
682,World,2021-12-04,471977.0
683,World,2021-12-05,419530.0
684,World,2021-12-06,703609.0
685,World,2021-12-07,639064.0
686,World,2021-12-08,711055.0
687,World,2021-12-09,698152.0
688,World,2021-12-10,693327.0
689,World,2021-12-11,466779.0
690,World,2021-12-12,426334.0
691,World,2021-12-13,693743.0
692,World,2021-12-14,636583.0
693,World,2021-12-15,739971.0
694,World,2021-12-16,743970.0
695,World,2021-12-17,767298.0
696,World,2021-12-18,529736.0
697,World,2021-12-19,484717.0
698,World,2021-12-20,809886.0
699,World,2021-12-21,758432.0
700,World,2021-12-22,914176.0
701,World,2021-12-23,1011704.0
702,World,2021-12-24,855708.0
703,World,2021-12-25,681566.0
704,World,2021-12-26,575486.0
705,World,2021-12-27,1341537.0
706,World,2021-12-28,1336176.0
707,World,2021-12-29,1703920.0
708,World,2021-12-30,1949040.0
709,World,2021-12-31,1702121.0
710,World,2022-01-01,1202337.0
711,World,2022-01-02,918031.0
712,World,2022-01-03,2337679.0
713,World,2022-01-04,2612745.0
714,World,2022-01-05,2583055.0
715,World,2022-01-06,2668177.0
716,World,2022-01-07,2952561.0
717,World,2022-01-08,2135694.0
718,World,2022-01-09,2004460.0
719,World,2022-01-10,3251087.0
720,World,2022-01-11,3029532.0
721,World,2022-01-12,3445826.0
722,World,2022-01-13,3186430.0
723,World,2022-01-14,3315765.0
724,World,2022-01-15,2427197.0
725,World,2022-01-16,2170858.0
726,World,2022-01-17,2777492.0
727,World,2022-01-18,3764253.0
728,World,2022-01-19,4082550.0
729,World,2022-01-20,3733688.0
730,World,2022-01-21,3830284.0
731,World,2022-01-22,2648435.0
732,World,2022-01-23,2382088.0
733,World,2022-01-24,3634061.0
734,World,2022-01-25,3654042.0
735,World,2022-01-26,3761061.0
736,World,2022-01-27,3699399.0
737,World,2022-01-28,3678481.0
738,World,2022-01-29,2562520.0
739,World,2022-01-30,2176038.0
740,World,2022-01-31,3041189.0
741,World,2022-02-01,3129462.0
742,World,2022-02-02,3184354.0
743,World,2022-02-03,3193549.0
744,World,2022-02-04,2955197.0
745,World,2022-02-05,2102954.0
746,World,2022-02-06,1762241.0
747,World,2022-02-07,2974378.0
748,World,2022-02-08,2599523.0
749,World,2022-02-09,2432601.0
750,World,2022-02-10,2813888.0
751,World,2022-02-11,2424561.0
752,World,2022-02-12,1724573.0
753,World,2022-02-13,1405471.0
754,World,2022-02-14,2042934.0
755,World,2022-02-15,1876164.0
756,World,2022-02-16,2242038.0
757,World,2022-02-17,2062586.0
758,World,2022-02-18,1983156.0
759,World,2022-02-19,1476965.0
760,World,2022-02-20,1193496.0
761,World,2022-02-21,1705458.0
762,World,2022-02-22,1673294.0
763,World,2022-02-23,1916899.0
764,World,2022-02-24,1787742.0
765,World,2022-02-25,1654015.0
766,World,2022-02-26,1273928.0
767,World,2022-02-27,1052149.0
768,World,2022-02-28,1608804.0
769,World,2022-03-01,1598086.0
770,World,2022-03-02,1658618.0
771,World,2022-03-03,1774896.0
772,World,2022-03-04,1762155.0
773,World,2022-03-05,1290289.0
774,World,2022-03-06,1109724.0
775,World,2022-03-07,1741359.0
776,World,2022-03-08,1583728.0
777,World,2022-03-09,1988778.0
778,World,2022-03-10,1871147.0
779,World,2022-03-11,1872332.0
780,World,2022-03-12,1560668.0
781,World,2022-03-13,1137616.0
782,World,2022-03-14,1997819.0
783,World,2022-03-15,1808579.0
784,World,2022-03-16,2236268.0
785,World,2022-03-17,2077571.0
786,World,2022-03-18,1891284.0
787,World,2022-03-19,1479375.0
788,World,2022-03-20,960817.0
789,World,2022-03-21,1879982.0
790,World,2022-03-22,1976437.0
791,World,2022-03-23,1803511.0
792,World,2022-03-24,1781044.0
793,World,2022-03-25,1759233.0
794,World,2022-03-26,1124399.0
795,World,2022-03-27,850745.0
796,World,2022-03-28,1843987.0
797,World,2022-03-29,1751398.0
798,World,2022-03-30,1595857.0
799,World,2022-03-31,1562994.0
800,World,2022-04-01,1418754.0
801,World,2022-04-02,872628.0
802,World,2022-04-03,693119.0
803,World,2022-04-04,1233161.0
804,World,2022-04-05,1365022.0
805,World,2022-04-06,1219755.0
806,World,2022-04-07,1278161.0
807,World,2022-04-08,1174225.0
808,World,2022-04-09,742254.0
809,World,2022-04-10,561621.0
810,World,2022-04-11,986334.0
811,World,2022-04-12,1119309.0
812,World,2022-04-13,1073494.0
813,World,2022-04-14,965252.0
814,World,2022-04-15,667045.0
815,World,2022-04-16,554447.0
816,World,2022-04-17,407761.0
817,World,2022-04-18,457286.0
818,World,2022-04-19,1018274.0
819,World,2022-04-20,961554.0
820,World,2022-04-21,921562.0
821,World,2022-04-22,831427.0
822,World,2022-04-23,478766.0
823,World,2022-04-24,365343.0
824,World,2022-04-25,636961.0
825,World,2022-04-26,778790.0
826,World,2022-04-27,683956.0
827,World,2022-04-28,759245.0
828,World,2022-04-29,644382.0
829,World,2022-04-30,353721.0
830,World,2022-05-01,309413.0
831,World,2022-05-02,447431.0
832,World,2022-05-03,672465.0
833,World,2022-05-04,627246.0
834,World,2022-05-05,599636.0
835,World,2022-05-06,630675.0
836,World,2022-05-07,339320.0
837,World,2022-05-08,278838.0
838,World,2022-05-09,690468.0
839,World,2022-05-10,641265.0
840,World,2022-05-11,694519.0
841,World,2022-05-12,652640.0
842,World,2022-05-13,572962.0
843,World,2022-05-14,438681.0
844,World,2022-05-15,373644.0
845,World,2022-05-16,591152.0
846,World,2022-05-17,608628.0
847,World,2022-05-18,760402.0
848,World,2022-05-19,597625.0
849,World,2022-05-20,625909.0
850,World,2022-05-21,367112.0
851,World,2022-05-22,328056.0
852,World,2022-05-23,522649.0
853,World,2022-05-24,594605.0
854,World,2022-05-25,643727.0
855,World,2022-05-26,507255.0
856,World,2022-05-27,569476.0
857,World,2022-05-28,328954.0
858,World,2022-05-29,276627.0
859,World,2022-05-30,344300.0
860,World,2022-05-31,625509.0
861,World,2022-06-01,698316.0
862,World,2022-06-02,530635.0
863,World,2022-06-03,543560.0
864,World,2022-06-04,252993.0
865,World,2022-06-05,262891.0
