,continent,date,new_vaccinations
398,Africa,2021-03-11,188408.0
399,Africa,2021-03-12,309004.0
400,Africa,2021-03-13,294228.0
401,Africa,2021-03-14,5244.0
402,Africa,2021-03-15,57289.0
403,Africa,2021-03-16,228914.0
404,Africa,2021-03-17,185426.0
405,Africa,2021-03-18,23775.0
406,Africa,2021-03-19,28098.0
407,Africa,2021-03-20,92359.0
408,Africa,2021-03-21,6689.0
409,Africa,2021-03-22,13836.0
410,Africa,2021-03-23,119761.0
411,Africa,2021-03-24,346775.0
412,Africa,2021-03-25,266426.0
413,Africa,2021-03-26,206818.0
414,Africa,2021-03-27,149143.0
415,Africa,2021-03-28,17336.0
416,Africa,2021-03-29,13606.0
417,Africa,2021-03-30,166088.0
418,Africa,2021-03-31,163520.0
419,Africa,2021-04-01,248758.0
420,Africa,2021-04-02,120364.0
421,Africa,2021-04-03,100332.0
422,Africa,2021-04-04,19741.0
423,Africa,2021-04-05,27932.0
424,Africa,2021-04-06,129545.0
425,Africa,2021-04-07,122918.0
426,Africa,2021-04-08,223781.0
427,Africa,2021-04-09,114846.0
428,Africa,2021-04-10,108681.0
429,Africa,2021-04-11,62909.0
430,Africa,2021-04-12,75223.0
431,Africa,2021-04-13,76891.0
432,Africa,2021-04-14,86449.0
433,Africa,2021-04-15,61426.0
434,Africa,2021-04-16,77335.0
435,Africa,2021-04-17,85364.0
436,Africa,2021-04-18,13598.0
437,Africa,2021-04-19,26199.0
438,Africa,2021-04-20,58899.0
439,Africa,2021-04-21,100757.0
440,Africa,2021-04-22,63106.0
441,Africa,2021-04-23,59895.0
442,Africa,2021-04-24,56468.0
443,Africa,2021-04-25,37836.0
444,Africa,2021-04-26,43031.0
445,Africa,2021-04-27,167284.0
446,Africa,2021-04-28,270696.0
447,Africa,2021-04-29,104841.0
448,Africa,2021-04-30,47614.0
449,Africa,2021-05-01,65575.0
450,Africa,2021-05-02,39575.0
451,Africa,2021-05-03,86858.0
452,Africa,2021-05-04,296126.0
453,Africa,2021-05-05,243141.0
454,Africa,2021-05-06,143947.0
455,Africa,2021-05-07,462291.0
456,Africa,2021-05-08,178851.0
457,Africa,2021-05-09,79850.0
458,Africa,2021-05-10,68774.0
459,Africa,2021-05-11,316833.0
460,Africa,2021-05-12,251505.0
461,Africa,2021-05-13,87672.0
462,Africa,2021-05-14,74619.0
463,Africa,2021-05-15,277828.0
464,Africa,2021-05-16,69106.0
465,Africa,2021-05-17,86911.0
466,Africa,2021-05-18,458174.0
467,Africa,2021-05-19,541800.0
468,Africa,2021-05-20,439284.0
469,Africa,2021-05-21,417797.0
470,Africa,2021-05-22,301864.0
471,Africa,2021-05-23,187888.0
472,Africa,2021-05-24,242733.0
473,Africa,2021-05-25,663424.0
474,Africa,2021-05-26,147831.0
475,Africa,2021-05-27,187008.0
476,Africa,2021-05-28,153226.0
477,Africa,2021-05-29,78903.0
478,Africa,2021-05-30,104795.0
479,Africa,2021-05-31,148820.0
480,Africa,2021-06-01,418396.0
481,Africa,2021-06-02,437634.0
482,Africa,2021-06-03,452020.0
483,Africa,2021-06-04,131339.0
484,Africa,2021-06-05,70446.0
485,Africa,2021-06-06,61775.0
486,Africa,2021-06-07,138192.0
487,Africa,2021-06-08,617876.0
488,Africa,2021-06-09,425231.0
489,Africa,2021-06-10,366526.0
490,Africa,2021-06-11,370669.0
491,Africa,2021-06-12,111083.0
492,Africa,2021-06-13,66290.0
493,Africa,2021-06-14,136966.0
494,Africa,2021-06-15,423155.0
495,Africa,2021-06-16,260155.0
496,Africa,2021-06-17,367999.0
497,Africa,2021-06-18,314432.0
498,Africa,2021-06-19,121672.0
499,Africa,2021-06-20,37881.0
500,Africa,2021-06-21,40759.0
501,Africa,2021-06-22,94673.0
502,Africa,2021-06-23,87502.0
503,Africa,2021-06-24,257224.0
504,Africa,2021-06-25,339762.0
505,Africa,2021-06-26,124919.0
506,Africa,2021-06-27,161345.0
507,Africa,2021-06-28,112551.0
508,Africa,2021-06-29,253744.0
509,Africa,2021-06-30,232738.0
510,Africa,2021-07-01,290793.0
511,Africa,2021-07-02,146119.0
512,Africa,2021-07-03,85584.0
513,Africa,2021-07-04,217294.0
514,Africa,2021-07-05,290711.0
515,Africa,2021-07-06,292670.0
516,Africa,2021-07-07,227340.0
517,Africa,2021-07-08,213360.0
518,Africa,2021-07-09,286804.0
519,Africa,2021-07-10,86041.0
520,Africa,2021-07-11,44398.0
521,Africa,2021-07-12,365028.0
522,Africa,2021-07-13,564972.0
523,Africa,2021-07-14,292867.0
524,Africa,2021-07-15,579443.0
525,Africa,2021-07-16,84191.0
526,Africa,2021-07-17,84221.0
527,Africa,2021-07-18,73046.0
528,Africa,2021-07-19,552926.0
529,Africa,2021-07-20,325599.0
530,Africa,2021-07-21,69806.0
531,Africa,2021-07-22,99765.0
532,Africa,2021-07-23,345123.0
533,Africa,2021-07-24,30374.0
534,Africa,2021-07-25,38144.0
535,Africa,2021-07-26,693776.0
536,Africa,2021-07-27,805386.0
537,Africa,2021-07-28,710556.0
538,Africa,2021-07-29,601551.0
539,Africa,2021-07-30,250901.0
540,Africa,2021-07-31,167150.0
541,Africa,2021-08-01,66535.0
542,Africa,2021-08-02,481258.0
543,Africa,2021-08-03,1520183.0
544,Africa,2021-08-04,86464.0
545,Africa,2021-08-05,109409.0
546,Africa,2021-08-06,374941.0
547,Africa,2021-08-07,138880.0
548,Africa,2021-08-08,172805.0
549,Africa,2021-08-09,525512.0
550,Africa,2021-08-10,243812.0
551,Africa,2021-08-11,561699.0
552,Africa,2021-08-12,646440.0
553,Africa,2021-08-13,302334.0
554,Africa,2021-08-14,173534.0
555,Africa,2021-08-15,118016.0
556,Africa,2021-08-16,724521.0
557,Africa,2021-08-17,798919.0
558,Africa,2021-08-18,750392.0
559,Africa,2021-08-19,1035803.0
560,Africa,2021-08-20,726616.0
561,Africa,2021-08-21,382350.0
562,Africa,2021-08-22,110140.0
563,Africa,2021-08-23,918408.0
564,Africa,2021-08-24,1092844.0
565,Africa,2021-08-25,273110.0
566,Africa,2021-08-26,133943.0
567,Africa,2021-08-27,140614.0
568,Africa,2021-08-28,228461.0
569,Africa,2021-08-29,920743.0
570,Africa,2021-08-30,178918.0
571,Africa,2021-08-31,403006.0
572,Africa,2021-09-01,811968.0
573,Africa,2021-09-02,378332.0
574,Africa,2021-09-03,70469.0
575,Africa,2021-09-04,609487.0
576,Africa,2021-09-05,136470.0
577,Africa,2021-09-06,1109199.0
